56,196
145,252
494,586
494,625
656,760
613,723
619,723
625,723
631,723
818,922
874,972
1022,1165
1391,1486
1564,1659
1564,1716
1510,1599
318,1673
372,1673
399,1673
513,1673
588,1673
642,1673
795,1673
846,1673
1215,1673
1485,1673
1815,1910
1815,1928
1815,2024
1916,2032
2193,2375
2409,2549
2409,2552
2610,2780
2610,2846
2610,2870
2986,3102
1867,3012
2227,3012
2536,3012
2743,3012
2869,3012
2872,3012
3408,3530
3665,3784
3668,3784
3872,3961
3788,3901
4014,4103
3905,4111
3926,4111
3953,4111
3980,4111
3986,4111
4007,4111
3097,4464
3121,4464
3124,4464
3133,4464
3175,4464
3181,4464
3184,4464
3217,4464
3301,4464
3310,4464
3325,4464
3382,4464
3415,4464
3436,4464
3478,4464
3502,4464
3547,4464
3553,4464
3571,4464
3622,4464
3640,4464
3676,4464
3682,4464
3775,4464
3826,4464
3829,4464
3883,4464
4003,4464
4183,4464
4252,4464
4273,4464
4288,4464
4303,4464
4333,4464
4494,4592
4494,4691
4431,4520
4597,4719
4816,4938
4816,4968
4816,5016
4816,5022
4816,5031
4723,4824
4578,4865
4629,4865
4635,4865
4644,4865
4701,4865
4728,4865
4907,5074
4907,5131
4907,5143
5054,5152
5209,5394
5303,5407
5303,5437
5303,5467
5501,5620
5501,5647
5613,5705
5613,5720
5613,5729
5582,5671
5563,5751
5638,5751
5641,5751
5653,5751
5769,5882
5769,5921
5769,5936
5843,5932
5776,5892
5788,5892
4869,5981
4986,5981
4998,5981
5001,5981
5052,5981
5076,5981
5109,5981
5163,5981
5199,5981
5205,5981
5238,5981
5271,5981
5277,5981
5292,5981
5307,5981
5337,5981
5358,5981
5364,5981
5367,5981
5373,5981
5409,5981
5442,5981
5580,5981
5607,5981
5700,5981
5817,5981
5853,5981
6046,6150
6147,6356
6147,6407
6147,6464
6147,6476
6147,6488
6147,6530
6147,6563
6147,6581
6170,6265
6142,6333
6175,6333
6187,6333
6190,6333
6196,6333
6202,6333
6205,6333
6214,6333
6235,6333
6427,6555
